Shortbred_ID	ShortBRED_ARG_Family_Name	DbAcc_ID	Db_Name	Marker_Source	Product_Name	Description	Seq_Type	Database_Source	AMR_Family	AMR_Class	Drug_Targets	AMR_Mechanism	ShortBRED_Analysis	TD_Analysis
MF0011	1028080888|WP_063840271_1|AJ748131_1|1|1|AAC(3)-VIII|AAC(3)-VIII|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-VIII	WP_063840271.1	NCBI-AMR	ARDatabase	AAC(3)	aminoglycoside N-acetyltransferase AAC(3)-VIII	Protein	NCBI-AMR	AAC3	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0012	1028080892|WP_063840275_1|EU912537_1|1|1|AACA40|AACA40|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AACA40	WP_063840275.1	NCBI-AMR	ARDatabase	AAC(6')	aminoglycoside 6'-N-acetyltransferase AACA40	Protein	NCBI-AMR	AAC6_prime	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0013	1028080941|WP_063840324_1|GQ856540_1|1|1|AAC(6_)-Il|AAC(6_)-Il|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-Il	WP_063840324.1	NCBI-AMR	ARDatabase	AAC(6')	aminoglycoside N-acetyltransferase AAC(6')-Il	Protein	NCBI-AMR	AAC6_prime	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0014	1028080949|WP_063840332_1|DQ302723_1|1|1|AACA37|AACA37|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AACA37	WP_063840332.1	NCBI-AMR	ARDatabase	AAC(6')	aminoglycoside 6'-N-acetyltransferase AACA37	Protein	NCBI-AMR	AAC6_prime	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0015	1028081078|WP_063840461_1|AB121443_1|1|1|ant(4_)-Ia|ant(4_)-Ia|nucleotidyltransferase|aminoglycoside_O-nucleotidyltransferase_ANT(4_)-Ia	WP_063840461.1	NCBI-AMR	ARDatabase	ANT(4')	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	Protein	NCBI-AMR	ANT4_prime	Aminoglycoside_nucleotidyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0016	1028081080|WP_063840463_1|U10250_1|1|1|blaCMY-FOX|blaCMY-FOX|hydrolase|FOX_MOX_family_class_C_beta-lactamase	WP_063840463.1	NCBI-AMR	ARDatabase	blaCMY-FOX	FOX/MOX family class C beta-lactamase	Protein	NCBI-AMR	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0017	1028081083|WP_063840466_1|DQ022079_1|1|1|bla-C|bla-C|hydrolase|class_C_beta-lactamase	WP_063840466.1	NCBI-AMR	ARDatabase	bla_class_C	class C beta-lactamase	Protein	NCBI-AMR	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0018	1028081339|WP_063840673_1|M69221_1|1|1|ant(9)-Ib|ant(9)-Ib|nucleotidyltransferase|aminoglycoside_nucleotidyltransferase_ANT(9)-Ib	WP_063840673.1	NCBI-AMR	ARDatabase	ANT(9)	aminoglycoside nucleotidyltransferase ANT(9)-Ib	Protein	NCBI-AMR	ANT9	Aminoglycoside_nucleotidyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0019	1028081341|WP_063840675_1|KF652097_1|1|1|aph(2__)-If|aph(2__)-If|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2__)-If	WP_063840675.1	NCBI-AMR	ARDatabase	APH(2'')	aminoglycoside O-phosphotransferase APH(2'')-If	Protein	NCBI-AMR	APH2_dprime	Aminoglycoside_phosphotransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0020	1028082399|WP_063841666_1|HQ424461_1|1|1|aph(6)-Smalt|aph(6)-Smalt|phosphotransferase|APH(6)_family_putative_aminoglycoside_O-phosphotransferase	WP_063841666.1	NCBI-AMR	ARDatabase	APH(6)	APH(6) family putative aminoglycoside O-phosphotransferase	Protein	NCBI-AMR	APH6	Aminoglycoside_phosphotransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0021	1028082921|WP_063842178_1|AJ744850_1|1|1|aph(3_)-Vb|aph(3_)-Vb|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-Vb	WP_063842178.1	NCBI-AMR	ARDatabase	APH(3')	aminoglycoside O-phosphotransferase APH(3')-Vb	Protein	NCBI-AMR	APH3_prime	Aminoglycoside_phosphotransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0022	1028083058|WP_063842214_1|FM897214_1|1|1|arr-6|arr-6|ADP-ribosyltransferase|NAD(+)--rifampin_ADP-ribosyltransferase_Arr-6	WP_063842214.1	NCBI-AMR	ARDatabase	arr	NAD(+)--rifampin ADP-ribosyltransferase Arr-6	Protein	NCBI-AMR	Arr_Rifampin_ADP_Ribosyltransferase	Rifampin_ribosyltransferase	Rifamycin	Antibiotic_inactivation	Yes	Yes
MF0023	"1028083116|WP_063842272_1|FN640464_1|1|1|bla-A2|bla-A2|hydrolase|class_A_beta-lactamase,_subclass_A2"	WP_063842272.1	NCBI-AMR	ARDatabase	bla_class_A	"class A beta-lactamase, subclass A2"	Protein	NCBI-AMR	Unknown_Class_A_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0024	1028083121|WP_063842277_1|FN640466_1|1|1|bla-A|bla-A|hydrolase|class_A_beta-lactamase	WP_063842277.1	NCBI-AMR	ARDatabase	bla_class_A	class A beta-lactamase	Protein	NCBI-AMR	Unknown_Class_A_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0025	1028083701|WP_063842669_1|AJ251814_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	WP_063842669.1	NCBI-AMR	ARDatabase	blaL1	L1 family subclass B3 metallo-beta-lactamase	Protein	NCBI-AMR	L1_beta_lactamase	Class_B_beta_lactamase_Subclass_B3	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0026	1028083708|WP_063842676_1|AJ251815_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	WP_063842676.1	NCBI-AMR	ARDatabase	blaL1	L1 family subclass B3 metallo-beta-lactamase	Protein	NCBI-AMR	L1_beta_lactamase	Class_B_beta_lactamase_Subclass_B3	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0027	1028083722|WP_063842690_1|EF126050_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	WP_063842690.1	NCBI-AMR	ARDatabase	blaL1	L1 family subclass B3 metallo-beta-lactamase	Protein	NCBI-AMR	L1_beta_lactamase	Class_B_beta_lactamase_Subclass_B3	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0028	1028083725|WP_063842693_1|EF126056_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	WP_063842693.1	NCBI-AMR	ARDatabase	blaL1	L1 family subclass B3 metallo-beta-lactamase	Protein	NCBI-AMR	L1_beta_lactamase	Class_B_beta_lactamase_Subclass_B3	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0029	1028083732|WP_063842700_1|EF126086_2|1|1|blaL2|blaL2|hydrolase|L2_family_class_A_beta-lactamase	WP_063842700.1	NCBI-AMR	ARDatabase	blaL2	L2 family class A beta-lactamase	Protein	NCBI-AMR	L2_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0030	1028083756|WP_063842724_1|HQ605913_1|1|1|blaM-1|blaM-1|hydrolase|class_A_beta-lactamase	WP_063842724.1	NCBI-AMR	ARDatabase	blaM	class A beta-lactamase	Protein	NCBI-AMR	blaM_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0031	1028083894|WP_063842862_1|HE993884_1|1|1|blaZ-mecC|blaZ-mecC|hydrolase|mecC-type_penicillin-hydrolyzing_class_A_beta-lactamase_BlaZ	WP_063842862.1	NCBI-AMR	ARDatabase	blaZ	mecC-type penicillin-hydrolyzing class A beta-lactamase BlaZ	Protein	NCBI-AMR	blaZ_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF6424	gb|AAC76296_1|ARO_3000656|acrS__Escherichia_coli	ARO:3000656	CARD	ARDatabase	AcrS	determinant of antibiotic resistance	Protein	CARD	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF0033	1028083937|WP_063842905_1|X77657_1|1|1|blaSED|blaSED|hydrolase|SED_family_class_A_beta-lactamase	WP_063842905.1	NCBI-AMR	ARDatabase	blaSED	SED family class A beta-lactamase	Protein	NCBI-AMR	SED_beta_lactamse	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0034	1028083994|WP_063842962_1|L26954_1|1|1|1567214_ble|1567214_ble|sequestration|BLMA_family_bleomycin_binding_protein	WP_063842962.1	NCBI-AMR	ARDatabase	ble	BLMA family bleomycin binding protein	Protein	NCBI-AMR	Bleomycin_Resistant_Protein	Bleomycin_resistant_protein	Glycopeptides	Antibiotic_inactivation	Yes	Yes
MF0035	1028084030|WP_063842998_1|X52869_1|1|1|ble-Sh|ble-Sh|sequestration|phleomycin_bleomycin_binding_protein_Ble-Sh	WP_063842998.1	NCBI-AMR	ARDatabase	ble	phleomycin/bleomycin binding protein Ble-Sh	Protein	NCBI-AMR	Bleomycin_Resistant_Protein	Bleomycin_resistant_protein	Glycopeptides	Antibiotic_inactivation	Yes	Yes
MF0036	1028084238|WP_063843206_1|L26955_1|1|1|blmB|blmB|acetyltransferase|bleomycin_family_antibiotic_N-acetyltransferase_BlmB	WP_063843206.1	NCBI-AMR	ARDatabase	blmB	bleomycin family antibiotic N-acetyltransferase BlmB	Protein	NCBI-AMR	Bleomycin_Resistant_Protein	Bleomycin_resistant_protein	Glycopeptides	Antibiotic_inactivation	Yes	Yes
MF0037	1028084240|WP_063843208_1|M11587_1|1|1|catA4|catA4|acetyltransferase|type_A-4_chloramphenicol_O-acetyltransferase	WP_063843208.1	NCBI-AMR	ARDatabase	catA	type A-4 chloramphenicol O-acetyltransferase	Protein	NCBI-AMR	catA_chloramphenicol_acetyltransferase	Chloramphenicol_acetyltransferase	Phenicol	Antibiotic_inactivation	Yes	Yes
MF0038	1028084241|WP_063843209_1|M58515_1|1|1|catA8|catA8|acetyltransferase|type_A-8_chloramphenicol_O-acetyltransferase	WP_063843209.1	NCBI-AMR	ARDatabase	catA	type A-8 chloramphenicol O-acetyltransferase	Protein	NCBI-AMR	catA_chloramphenicol_acetyltransferase	Chloramphenicol_acetyltransferase	Phenicol	Antibiotic_inactivation	Yes	Yes
MF0039	1028084244|WP_063843212_1|JXOM01000580_1|1|1|catA5|catA5|acetyltransferase|type_A-5_chloramphenicol_O-acetyltransferase	WP_063843212.1	NCBI-AMR	ARDatabase	catA	type A-5 chloramphenicol O-acetyltransferase	Protein	NCBI-AMR	catA_chloramphenicol_acetyltransferase	Chloramphenicol_acetyltransferase	Phenicol	Antibiotic_inactivation	Yes	Yes
MF0040	1028084265|WP_063843233_1|X15100_1|1|1|catD|catD|acetyltransferase|type_A-11_chloramphenicol_O-acetyltransferase_CatD	WP_063843233.1	NCBI-AMR	ARDatabase	catD	type A-11 chloramphenicol O-acetyltransferase CatD	Protein	NCBI-AMR	catD_chloramphenicol_acetyltransferase	Chloramphenicol_acetyltransferase	Phenicol	Antibiotic_inactivation	Yes	Yes
MF0041	1028084266|WP_063843234_1|AJ276030_1|1|1|cepH|cepH|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_CepH	WP_063843234.1	NCBI-AMR	ARDatabase	cepH	cephalosporin-hydrolyzing class C beta-lactamase CepH	Protein	NCBI-AMR	CepH_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0042	1028085750|WP_063844283_1|AY261376_1|1|1|cphA1|cphA1|hydrolase|subclass_B2_metallo-beta-lactamase_CphA1	WP_063844283.1	NCBI-AMR	ARDatabase	cphA	subclass B2 metallo-beta-lactamase CphA1	Protein	NCBI-AMR	CphA_beta_lactamase	Class_B_beta_lactamase_Subclass_B2	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0043	1028085756|WP_063844287_1|U09991_1|1|1|cpt|cpt|phosphotransferase|chloramphenicol_phosphotransferase_CPT	WP_063844287.1	NCBI-AMR	ARDatabase	CPT	chloramphenicol phosphotransferase CPT	Protein	NCBI-AMR	Chloramphenicol_Phosphotransferase	Chloramphenicol_phosphotransferase	Phenicol	Antibiotic_inactivation	Yes	Yes
MF0044	1028085790|WP_063844289_1|AJ238350_1|1|1|dfrA1|dfrA1|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA1	WP_063844289.1	NCBI-AMR	ARDatabase	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0045	1028085894|WP_063844392_1|FM877476_1|1|1|dfrA28|dfrA|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA28	WP_063844392.1	NCBI-AMR	ARDatabase	dfrA	trimethoprim-resistant dihydrofolate reductase DfrA28	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0046	1028085910|WP_063844408_1|AM997279_2|1|1|dfrA30|dfrA30|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA30	WP_063844408.1	NCBI-AMR	ARDatabase	dfrA30	trimethoprim-resistant dihydrofolate reductase DfrA30	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0047	1028085960|WP_063844458_1|Z86002_1|1|1|dfrA6|dfrA6|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA6	WP_063844458.1	NCBI-AMR	ARDatabase	dfrA6	trimethoprim-resistant dihydrofolate reductase DfrA6	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0048	1028085963|WP_063844461_1|FJ905898_1|1|1|dfrA6|dfrA6|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA6	WP_063844461.1	NCBI-AMR	ARDatabase	dfrA6	trimethoprim-resistant dihydrofolate reductase DfrA6	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0049	1028085979|WP_063844475_1|X57730_1|1|1|dfrA9|dfrA9|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA9	WP_063844475.1	NCBI-AMR	ARDatabase	dfrA9	trimethoprim-resistant dihydrofolate reductase DfrA9	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0050	1028085990|WP_063844480_1|GU295656_1|1|1|dfrB8|dfrB|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrB8	WP_063844480.1	NCBI-AMR	ARDatabase	dfrB	trimethoprim-resistant dihydrofolate reductase DfrB8	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0051	1028086013|WP_063844482_1|AY943084_1|1|1|dfrB5|dfrB5|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrB5	WP_063844482.1	NCBI-AMR	ARDatabase	dfrB5	trimethoprim-resistant dihydrofolate reductase DfrB5	Protein	NCBI-AMR	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF0052	1028086082|WP_063844521_1|HG796218_2|1|1|erm(44)|erm(44)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(44)	WP_063844521.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(44)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0053	1028086083|WP_063844522_1|LN680996_1|1|1|erm(45)|erm(45)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(45)	WP_063844522.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(45)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0054	1028086396|WP_063844770_1|M11200_1|1|1|erm(E)|erm(E)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(E)	WP_063844770.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(E)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0055	1028086487|WP_063844861_1|EU124663_1|1|1|erm(U)|erm(U)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(U)	WP_063844861.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(U)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0056	1028086505|WP_063844879_1|M36726_1|1|1|erm(X)|erm(X)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X)	WP_063844879.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0057	1028086515|WP_063844889_1|AF338705_1|1|1|erm(X)|erm(X)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X)	WP_063844889.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0058	1028086520|WP_063844894_1|AF338706_1|1|1|erm(X)|erm(X)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X)	WP_063844894.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0059	1028094191|WP_063851229_1|AJ605334_1|1|1|fosB-38141535|fosB-38141535|thiol_transferase|FosB_family_fosfomycin_resistance_bacillithiol_transferase	WP_063851229.1	NCBI-AMR	ARDatabase	fosB	FosB family fosfomycin resistance bacillithiol transferase	Protein	NCBI-AMR	FosB_Fosfomycin_thiol_transferase	Fosfomycin_thiol_transferase	Fosfomycin	Antibiotic_inactivation	Yes	Yes
MF0060	1028094193|WP_063851231_1|AY294333_1|1|1|fosF|fosF|thiol_transferase|fosfomycin_resistance_glutathione_transferase_FosF	WP_063851231.1	NCBI-AMR	ARDatabase	fosF	fosfomycin resistance glutathione transferase FosF	Protein	NCBI-AMR	FosF_Fosfomycin_thiol_transferase	Fosfomycin_thiol_transferase	Fosfomycin	Antibiotic_inactivation	Yes	Yes
MF0061	1028094194|WP_063851232_1|DQ112222_1|1|1|fosG|fosG|thiol_transferase|FosG_family_fosfomycin_resistance_glutathione_transferase	WP_063851232.1	NCBI-AMR	ARDatabase	fosG	FosG family fosfomycin resistance glutathione transferase	Protein	NCBI-AMR	FosG_Fosfomycin_thiol_transferase	Fosfomycin_thiol_transferase	Fosfomycin	Antibiotic_inactivation	Yes	Yes
MF0062	1028094195|WP_063851233_1|DQ342344_1|1|1|fosH|fosX_gen|thiol_transferase|fosfomycin_resistance_thiol_transferase_FosH	WP_063851233.1	NCBI-AMR	ARDatabase	fosX	fosfomycin resistance thiol transferase FosH	Protein	NCBI-AMR	FosX_Fosfomycin_thiol_transferase	Fosfomycin_thiol_transferase	Fosfomycin	Antibiotic_inactivation	Yes	Yes
MF0063	1028094224|WP_063851262_1|AB934903_1|1|1|fusF|fusF|target_protection|fusidic_acid_resistance_EF-G-binding_protein_FusF	WP_063851262.1	NCBI-AMR	ARDatabase	fusF	fusidic acid resistance EF-G-binding protein FusF	Protein	NCBI-AMR	FusF_Fusidic_Acid_Inactivation_Enzyme	Fusidic_acid_inactivation_enzyme	Fusidic_Acid	Antibiotic_inactivation	Yes	Yes
MF0064	1028094229|WP_063851267_1|AB934907_1|1|1|fusF|fusF|target_protection|fusidic_acid_resistance_EF-G-binding_protein_FusF	WP_063851267.1	NCBI-AMR	ARDatabase	fusF	fusidic acid resistance EF-G-binding protein FusF	Protein	NCBI-AMR	FusF_Fusidic_Acid_Inactivation_Enzyme	Fusidic_acid_inactivation_enzyme	Fusidic_Acid	Antibiotic_inactivation	Yes	Yes
MF0065	1028094245|WP_063851283_1|M55521_1|1|1|grm|grm||Grm_family_16S_rRNA_(guanine(1405)-N(7))-methyltransferase	WP_063851283.1	NCBI-AMR	ARDatabase	grm	Grm family 16S rRNA (guanine(1405)-N(7))-methyltransferase	Protein	NCBI-AMR	Grm_16S_rRNA_methyltransferase_G1405	16S_rRNA_methyltransferase	Aminoglycosides	Antibiotic_target_alteration	Yes	Yes
MF0066	1028094250|WP_063851288_1|D37831_1|1|1|hugA|hugA|hydrolase|class_A_beta-lactamase	WP_063851288.1	NCBI-AMR	ARDatabase	hugA	class A beta-lactamase	Protein	NCBI-AMR	hugA_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0067	1028094273|WP_063851311_1|AF324468_1|1|1|hugA|hugA|hydrolase|class_A_beta-lactamase	WP_063851311.1	NCBI-AMR	ARDatabase	hugA	class A beta-lactamase	Protein	NCBI-AMR	hugA_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0068	1028095806|WP_063852694_1|AM048810_2|1|1|mecA2|mecA2|insensitivity|PBP2a_family_beta-lactam-resistant_peptidoglycan_transpeptidase_MecA2	WP_063852694.1	NCBI-AMR	ARDatabase	mecA	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA2	Protein	NCBI-AMR	Methicillin_Resistant_PBP2a	Methicillin_resistant_PBP2a	Beta_lactams	Antibiotic_target_replacement	Yes	Yes
