Family	Count	Hits	TotMarkerLength
1028081340|WP_063840674_1|AF337947_1|1|1|aph(2__)-IIa|aph(2__)-IIa|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2__)-IIa	0.0	0	22
1028081341|WP_063840675_1|KF652097_1|1|1|aph(2__)-If|aph(2__)-If|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(2__)-If	0.0	0	102
1028081342|WP_063840676_1|X53527_1|1|1|aph(3__)-Ia|aph(3__)-Ia|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3__)-Ia	0.0	0	45
1028081748|WP_063841015_1|DQ336355_1|1|1|aph(3__)-Ic|aph(3__)-Ic|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3__)-Ic	0.0	0	85
1028082228|WP_063841495_1|AF330699_1|1|1|aph(3_)-IIIa|aph(3_)-IIIa|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-IIIa	0.0	0	67
1028082394|WP_063841661_1|HQ424460_1|1|1|aph(3_)-IIc|aph(3_)-IIc|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-IIc	0.0	0	33
1028082399|WP_063841666_1|HQ424461_1|1|1|aph(6)-Smalt|aph(6)-Smalt|phosphotransferase|APH(6)_family_putative_aminoglycoside_O-phosphotransferase	0.0	0	48
1028082407|WP_063841674_1|X03364_1|1|1|aph(3_)-IVa|aph(3_)-IVa|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-IVa	0.0	0	235
1028082416|WP_063841683_1|Y00452_1|1|1|aph(3_)-Ia|aph(3_)-Ia|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-Ia	0.0	0	30
1028082912|WP_063842175_1|M29953_1|1|1|aph(3_)-VIIa|aph(3_)-VIIa|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-VIIa	0.0	0	250
1028082917|WP_063842176_1|K00432_1|1|1|aph(3_)-Va|aph(3_)-Va|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-Va	0.0	0	47
1028082921|WP_063842178_1|AJ744850_1|1|1|aph(3_)-Vb|aph(3_)-Vb|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-Vb	0.0	0	130
1028082922|WP_063842179_1|S81599_1|1|1|aph(3_)-Vc|aph(3_)-Vc|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(3_)-Vc	0.0	0	104
1028082930|WP_063842181_1|Y00459_1|1|1|aph(6)-Ia|aph(6)-Ia|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(6)-Ia	0.0	0	88
1028083027|WP_063842183_1|AF024602_1|1|1|aph(6)-Id|aph(6)-Id|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(6)-Id	58.18008228194236	277	90
1028083029|WP_063842185_1|X03615_1|1|1|aph(7__)-Ia|aph(7__)-Ia|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(7__)-Ia	0.0	0	272
1028083030|WP_063842186_1|U70376_2|1|1|aph(9)-Ib|aph(9)-Ib|phosphotransferase|aminoglycoside_O-phosphotransferase_APH(9)-Ib	0.0	0	208
1028083046|WP_063842202_1|AF001493_1|1|1|arr-Ms|arr-Ms|ADP-ribosyltransferase|NAD(+)--rifampin_ADP-ribosyltransferase	0.0	0	20
1028083051|WP_063842207_1|NG_047478_1|1|1|arr|arr|ADP-ribosyltransferase|NAD(+)--rifampin_ADP-ribosyltransferase	30.326851527970554	64	15
1028083058|WP_063842214_1|FM897214_1|1|1|arr-6|arr-6|ADP-ribosyltransferase|NAD(+)--rifampin_ADP-ribosyltransferase_Arr-6	0.0	0	64
1028083083|WP_063842239_1|M28303_1|1|1|bla2a|bla2a|hydrolase|Exo_family_class_A_beta-lactamase	0.0	0	126
1028083092|WP_063842248_1|X06599_1|1|1|bla1|bla1|hydrolase|class_A_beta-lactamase_Bla1	0.0	0	102
1028083107|WP_063842263_1|EU408346_1|1|1|blaLRA-1|blaLRA-1|hydrolase|class_A_beta-lactamase_LRA-1	0.0	0	22
1028083112|WP_063842268_1|EU408358_1|1|1|blaLRA-5|blaLRA-5|hydrolase|class_A_beta-lactamase_LRA-5	0.0	0	184
1028083116|WP_063842272_1|FN640464_1|1|1|bla-A2|bla-A2|hydrolase|class_A_beta-lactamase,_subclass_A2	0.0	0	118
1028083121|WP_063842277_1|FN640466_1|1|1|bla-A|bla-A|hydrolase|class_A_beta-lactamase	0.0	0	300
1028083594|WP_063842622_1|AF189299_1|1|1|blaB|blaB|hydrolase|BlaB_family_subclass_B1_metallo-beta-lactamase	0.0	0	18
1028083609|WP_063842628_1|L25634_1|1|1|blaF|blaF|hydrolase|class_A_beta-lactamase	0.0	0	9
1028083611|WP_063842629_1|EF394442_1|1|1|blaGOB|blaGOB|hydrolase|GOB_family_subclass_B3_metallo-beta-lactamase	0.0	0	33
1028083701|WP_063842669_1|AJ251814_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	0.0	0	11
1028083708|WP_063842676_1|AJ251815_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	0.0	0	102
1028083714|WP_063842682_1|AJ272109_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	0.0	0	58
1028083722|WP_063842690_1|EF126050_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	0.0	0	102
1028083725|WP_063842693_1|EF126056_1|1|1|blaL1|blaL1|hydrolase|L1_family_subclass_B3_metallo-beta-lactamase	0.0	0	39
1028083732|WP_063842700_1|EF126086_2|1|1|blaL2|blaL2|hydrolase|L2_family_class_A_beta-lactamase	0.0	0	57
1028083733|WP_063842701_1|EU408347_1|1|1|blaLRA-2|blaLRA-2|hydrolase|subclass_B3_metallo-beta-lactamase_LRA-2	0.0	0	217
1028083734|WP_063842702_1|EU408348_1|1|1|blaLRA-3|blaLRA-3|hydrolase|subclass_B3_metallo-beta-lactamase_LRA-3	0.0	0	66
1028083735|WP_063842703_1|EU408349_1|1|1|blaLRA-8|blaLRA-8|hydrolase|subclass_B3_metallo-beta-lactamase_LRA-8	0.0	0	33
1028083736|WP_063842704_1|EU408350_1|1|1|blaLRA-9|blaLRA-9|hydrolase|subclass_B3_metallo-beta-lactamase_LRA-9	0.0	0	30
1028083739|WP_063842707_1|EU408351_1|1|1|blaLRA-12|blaLRA-12|hydrolase|subclass_B3_metallo-beta-lactamase_LRA-12	0.0	0	152
1028083744|WP_063842712_1|EU408354_1|1|1|blaLRA-17|blaLRA-17|hydrolase|subclass_B3_metallo-beta-lactamase_LRA-17	0.0	0	188
1028083749|WP_063842717_1|EU408359_1|1|1|blaLRA-19|blaLRA-19|hydrolase|subclass_B3_metallo-beta-lactamase_LRA-19	0.0	0	143
1028083756|WP_063842724_1|HQ605913_1|1|1|blaM-1|blaM-1|hydrolase|class_A_beta-lactamase	0.0	0	238
1028083762|WP_063842730_1|AJ299421_1|1|1|blaOCH|blaOCH|hydrolase|OCH_family_class_C_extended-spectrum_beta-lactamase	0.0	0	65
1028083784|WP_063842752_1|AJ746226_1|1|1|blaOXY-2-14|blaOXY-2|hydrolase|class_A_extended-spectrum_beta-lactamase_OXY-2-14	0.0	0	33
1028083894|WP_063842862_1|HE993884_1|1|1|blaZ-mecC|blaZ-mecC|hydrolase|mecC-type_penicillin-hydrolyzing_class_A_beta-lactamase_BlaZ	0.0	0	87
1028083901|WP_063842869_1|AJ400722_1|1|1|blaR1|blaR1|regulation|beta-lactam_sensor_signal_transducer_BlaR1	0.0	0	68
1028083928|WP_063842896_1|X53650_1|1|1|blaR39|blaR39|hydrolase|class_A_beta-lactamase	0.0	0	115
1028083937|WP_063842905_1|X77657_1|1|1|blaSED|blaSED|hydrolase|SED_family_class_A_beta-lactamase	0.0	0	20
1028083943|WP_063842911_1|AY590119_1|1|1|blaSFB-1|blaSHW|hydrolase|SHW_family_subclass_B1_metallo-beta-lactamase_SFB-1	0.0	0	124
1028083947|WP_063842915_1|AY590118_1|1|1|blaSLB-1|blaSHW|hydrolase|SHW_family_subclass_B1_metallo-beta-lactamase_SLB-1	0.0	0	147
1028083971|WP_063842939_1|AF384203_2|1|1|blaSRT|blaSRT|hydrolase|SRT_SST_family_class_C_beta-lactamase	0.0	2	50
1028083980|WP_063842948_1|AJ250876_1|1|1|blaTHIN-B|blaTHIN-B|hydrolase|subclass_B3_metallo-beta-lactamase_THIN-B	0.0	0	108
1028083994|WP_063842962_1|L26954_1|1|1|1567214_ble|1567214_ble|sequestration|BLMA_family_bleomycin_binding_protein	0.0	0	65
1028084030|WP_063842998_1|X52869_1|1|1|ble-Sh|ble-Sh|sequestration|phleomycin_bleomycin_binding_protein_Ble-Sh	0.0	0	100
1028084238|WP_063843206_1|L26955_1|1|1|blmB|blmB|acetyltransferase|bleomycin_family_antibiotic_N-acetyltransferase_BlmB	0.0	0	215
1028084239|WP_063843207_1|M80346_1|1|1|car(A)|car(A)|target_protection|ABC-F_type_ribosomal_protection_protein_Car(A)	0.0	0	95
1028084240|WP_063843208_1|M11587_1|1|1|catA4|catA4|acetyltransferase|type_A-4_chloramphenicol_O-acetyltransferase	0.0	0	79
1028084241|WP_063843209_1|M58515_1|1|1|catA8|catA8|acetyltransferase|type_A-8_chloramphenicol_O-acetyltransferase	0.0	0	10
1028084243|WP_063843211_1|M64281_1|1|1|catA7|catA7|acetyltransferase|type_A-7_chloramphenicol_O-acetyltransferase	0.0	0	93
1028084244|WP_063843212_1|JXOM01000580_1|1|1|catA5|catA5|acetyltransferase|type_A-5_chloramphenicol_O-acetyltransferase	0.0	0	102
1028084250|WP_063843218_1|AF326777_3|1|1|catA1|catA1|acetyltransferase|type_A-1_chloramphenicol_O-acetyltransferase	0.0	2	64
1028084251|WP_063843219_1|M93113_1|1|1|catA15|catA15|acetyltransferase|type_A-15_chloramphenicol_acetyltransferase_CatA15	0.0	0	71
1028084252|WP_063843220_1|M55620_1|1|1|catA16|catA16|acetyltransferase|type_A-16_chloramphenicol_O-acetyltransferase_CatQ	2.558828097672512	1	33
1028084254|WP_063843222_1|X53797_1|1|1|catA2|catA2|acetyltransferase|type_A-2_chloramphenicol_O-acetyltransferase_CatII	0.0	0	62
1028084255|WP_063843223_1|AJ878850_1|1|1|catB10|catB10|acetyltransferase|type_B_chloramphenicol_O-acetyltransferase_CatB10	0.0	0	37
1028084256|WP_063843224_1|DQ343904_1|1|1|catB3|catB3|acetyltransferase|type_B-3_chloramphenicol_O-acetyltransferase_CatB3	48.61773385577772	19	33
1028084261|WP_063843229_1|AJ223604_1|1|1|catB6|catB|acetyltransferase|type_B-3_chloramphenicol_O-acetyltransferase_CatB6	0.0	0	30
1028084262|WP_063843230_1|AF418284_1|1|1|catB8|catB8|acetyltransferase|type_B-3_chloramphenicol_O-acetyltransferase_CatB8	0.0	0	39
1028084265|WP_063843233_1|X15100_1|1|1|catD|catD|acetyltransferase|type_A-11_chloramphenicol_O-acetyltransferase_CatD	0.0	0	47
1028084266|WP_063843234_1|AJ276030_1|1|1|cepH|cepH|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_CepH	0.0	0	68
1028084267|WP_063843235_1|X80277_1|1|1|cepS|cepS|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_CepS	0.0	0	9
1028084268|WP_063843236_1|AY372695_1|1|1|cfiA11|cfiA|hydrolase|subclass_B1_metallo-beta-lactamase_CfiA11	0.0	4	175
1028084269|WP_063843237_1|U38243_1|1|1|cfxA|cfxA|hydrolase|class_A_broad-spectrum_beta-lactamase_CfxA	0.0	0	9
1028084277|WP_063843245_1|AY509120_1|1|1|chrB|chrB|target_modification|23S_rRNA_(guanine(748)-N(1))-methyltransferase_ChrB	0.0	0	192
1028084278|WP_063843246_1|AF156486_1|1|1|cmlA4|cmlA4|efflux|chloramphenicol_efflux_MFS_transporter_CmlA4	9.68089963619435	45	71
1028085701|WP_063844234_1|Z12001_1|1|1|cmrA|cmrA|efflux|chloramphenicol_efflux_MFS_transporter_CmrA	0.0	0	85
1028085710|WP_063844243_1|AF015087_1|1|1|cmrA|cmrA|efflux|chloramphenicol_efflux_MFS_transporter_CmrA	0.0	0	79
1028085748|WP_063844281_1|AY112998_1|1|1|cphA3|cphA|hydrolase|subclass_B2_metallo-beta-lactamase_CphA3	0.0	0	48
1028085750|WP_063844283_1|AY261376_1|1|1|cphA1|cphA1|hydrolase|subclass_B2_metallo-beta-lactamase_CphA1	0.0	0	102
1028085756|WP_063844287_1|U09991_1|1|1|cpt|cpt|phosphotransferase|chloramphenicol_phosphotransferase_CPT	0.0	0	49
1028085759|WP_063844288_1|AJ400733_1|1|1|dfr1_rpt|dfr1_rpt|insensitivity|trimethoprim-resistant_repeat-containing_dihydrofolate_reductase_DfrA1	0.0	0	34
1028085793|WP_063844291_1|AY141977_1|1|1|dfrA1|dfrA1|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA1	1.0661783740302149	42	28
1028085799|WP_063844297_1|AY551331_1|1|1|dfrA12|dfrA12|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA12	0.0	2	32
1028085836|WP_063844334_1|Z50802_3|1|1|dfrA13|dfrA-221360488|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA13	0.0	0	33
1028085864|WP_063844362_1|DQ647028_2|1|1|dfrA15|dfrA15|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA15	1.3122195372679568	2	20
1028085866|WP_063844364_1|AF077008_1|1|1|dfrA16|dfrA16|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA16	2.436979140640491	11	54
1028085872|WP_063844370_1|AJ968952_1|1|1|dfrA22|dfrA22|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA22	0.0	0	33
1028085878|WP_063844376_1|AJ972619_1|1|1|dfrA24|dfrA24|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA24	0.0	0	171
1028085883|WP_063844381_1|AM403715_1|1|1|dfrA26|dfrA26|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA26	0.0	0	152
1028085894|WP_063844392_1|FM877476_1|1|1|dfrA28|dfrA|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA28	0.0	2	76
1028085905|WP_063844403_1|J03306_1|1|1|dfrA3|dfrA3|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA3	0.0	0	86
1028085910|WP_063844408_1|AM997279_2|1|1|dfrA30|dfrA30|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA30	0.0	0	68
1028085960|WP_063844458_1|Z86002_1|1|1|dfrA6|dfrA6|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA6	0.0	0	65
1028085963|WP_063844461_1|FJ905898_1|1|1|dfrA6|dfrA6|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA6	0.0	0	44
1028085979|WP_063844475_1|X57730_1|1|1|dfrA9|dfrA9|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrA9	0.0	0	158
1028085984|WP_063844477_1|AY553333_1|1|1|dfrB2|dfrB2|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrB2	0.0	0	15
1028085986|WP_063844478_1|EU339233_1|1|1|dfrB4|dfrB4|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrB4	0.0	0	54
1028085989|WP_063844479_1|DQ274503_1|1|1|dfrB6|dfrB|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrB6	0.0	0	18
1028085990|WP_063844480_1|GU295656_1|1|1|dfrB8|dfrB|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrB8	0.0	0	68
1028086003|WP_063844481_1|Z50141_1|1|1|dfrD|dfrD|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrD	0.0	0	31
1028086013|WP_063844482_1|AY943084_1|1|1|dfrB5|dfrB5|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrB5	3.9366586118038653	2	34
1028086014|WP_063844483_1|FN812951_1|1|1|dfrK|dfrK|insensitivity|trimethoprim-resistant_dihydrofolate_reductase_DfrK	0.0	0	68
1028086015|WP_063844484_1|AF326209_1|1|1|ere(A)|ere(A)|esterase|EreA_family_erythromycin_esterase	0.0	0	11
1028086016|WP_063844485_1|DQ157752_1|1|1|ere(A)|ere(A)|esterase|EreA_family_erythromycin_esterase	7.754024538401561	20	11
1028086017|WP_063844486_1|A15097_1|1|1|ere(B)|ere(B)|esterase|EreB_family_erythromycin_esterase	0.0	11	300
1028086023|WP_063844492_1|AF079138_1|1|1|erm(31)|erm(31)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(31)	0.0	0	179
1028086027|WP_063844496_1|AF055922_1|1|1|erm(32)|erm(32)|target_modification|23S_rRNA_(guanine(748)-N(1))-methyltransferase_Erm(32)	0.0	1	167
1028086035|WP_063844504_1|AY234334_1|1|1|erm(34)|erm(34)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(34)	0.0	0	155
1028086079|WP_063844518_1|AY154657_2|1|1|erm(38)|erm(38)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(38)	0.0	0	142
1028086081|WP_063844520_1|HE650138_1|1|1|erm(43)|erm(43)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(43)	0.0	0	114
1028086082|WP_063844521_1|HG796218_2|1|1|erm(44)|erm(44)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(44)	0.0	0	68
1028086083|WP_063844522_1|LN680996_1|1|1|erm(45)|erm(45)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(45)	0.0	0	234
1028086394|WP_063844768_1|M17990_1|1|1|erm(C)|erm(C)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(C)	0.0	0	26
1028086395|WP_063844769_1|L08389_1|1|1|erm(D)|erm(D)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(D)	0.0	0	108
1028086396|WP_063844770_1|M11200_1|1|1|erm(E)|erm(E)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(E)	0.0	0	102
1028086413|WP_063844787_1|L42817_1|1|1|erm(G)|erm(G)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(G)	0.0	0	71
1028086420|WP_063844794_1|M16503_1|1|1|erm(H)|erm(H)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(H)	0.0	0	258
